Filename,Average Hue,Average Saturation,Average Value
9.jpg_0_0.png,20.778600000000004,166.73110000000005,157.76490000000007
9.jpg_0_2.png,21.5975,164.72039999999993,154.92640000000003
10.jpg_4_0.png,20.9558,212.55550000000005,111.05830000000002
10.jpg_4_1.png,20.634700000000013,209.0328000000001,120.918
11.jpg_0_4.png,20.6717,199.25920000000005,145.24439999999996
11.jpg_1_4.png,20.799500000000002,198.03879999999998,143.2196
12.jpg_4_0.png,21.14410000000001,201.98839999999996,145.29910000000004
12.jpg_4_1.png,24.311500000000006,205.99730000000008,140.12499999999997
13.jpg_0_0.png,20.866100000000003,165.91630000000004,155.94049999999993
13.jpg_0_2.png,21.39280000000001,163.4532,152.4412
14.jpg_4_1.png,20.432000000000006,210.49440000000007,121.42680000000007
14.jpg_4_0.png,20.562199999999997,216.14210000000003,114.58039999999997
15.jpg_0_4.png,21.128300000000003,197.84929999999997,140.38040000000004
15.jpg_1_4.png,20.7379,195.61359999999996,139.98630000000006
16.jpg_4_1.png,23.523999999999997,207.25469999999999,137.48609999999996
16.jpg_4_0.png,20.995300000000007,201.90410000000008,142.38269999999994
18.jpg_0_2.png,20.883099999999992,201.59149999999997,153.5464
18.jpg_0_1.png,20.41250000000001,202.31810000000002,148.55140000000011
22.jpg_0_2.png,20.8645,199.14190000000002,153.003
22.jpg_0_1.png,20.3939,201.66750000000005,148.5556000000001
25.jpg_0_0.png,25.277000000000008,110.2854,182.55870000000007
25.jpg_0_1.png,22.680199999999992,125.41649999999996,173.1416999999999
29.jpg_1_4.png,26.914100000000005,129.64469999999997,169.4422
29.jpg_0_4.png,26.88150000000001,111.56270000000004,180.53879999999992
33.jpg_4_3.png,18.497700000000005,171.33569999999997,127.20610000000002
33.jpg_4_4.png,18.419099999999993,188.07420000000002,129.94190000000003
37.jpg_4_3.png,18.718300000000006,187.68900000000005,128.1367
37.jpg_4_4.png,18.717299999999994,203.06920000000002,128.31699999999998
