Image Number,Lake Score,Forest Score,Grassland Score,Field Score,Swamp Score,Mine Score,Total score
1,3,7,20,0,6,0,36
6,0,0,0,4,3,34,41
9,0,1,9,27,6,2,45
13,0,1,9,27,6,2,45
14,14,5,0,1,6,12,38
18,0,48,0,12,0,0,60
19,0,2,5,8,0,8,23
20,32,0,4,5,2,9,52
26,27,20,0,0,0,1,48
35,6,5,0,5,2,28,46
38,0,1,4,8,20,3,36
40,0,32,10,8,1,0,51
50,6,14,0,10,0,4,34
67,90,6,0,3,0,0,99
69,0,0,0,10,54,60,124
