category,Hue,Saturation,Value
grassland,42.3214,211.2359,144.81
grassland,39.5853,220.9299,118.7821
grassland,42.4302,189.2395,154.6845
grassland,34.1238,221.4421,79.9802
grassland,32.5098,225.5071,129.8039
grassland,33.7695,201.5155,126.7838
grassland,34.582,200.604,123.546
grassland,41.8935,216.0432,145.8581
grassland,43.6883,189.5787,136.5645
grassland,38.7566,226.247,143.0975
grassland,41.3386,212.6464,136.2555
grassland,43.277,217.9319,85.2445
grassland,42.9836,195.9305,156.7013
grassland,41.2939,198.7199,111.3543
grassland,45.1538,201.0965,83.8693
grassland,43.8867,207.4308,155.5844
grassland,41.0676,219.4254,122.5532
grassland,36.6222,193.2069,131.3869
grassland,39.1228,218.6915,128.3852
grassland,44.6725,203.6114,103.8597
grassland,41.4117,210.7728,106.1912
grassland,39.9537,188.1086,157.1193
grassland,40.6379,194.5991,157.8901
grassland,42.1327,216.4714,144.8849
grassland,44.023,185.1158,132.2598
grassland,45.2548,183.9879,127.7538
grassland,42.5775,201.392,157.2581
grassland,39.8921,222.5099,135.5844
grassland,40.2836,200.5823,157.5437
grassland,47.8328,175.9492,133.8846
grassland,36.4777,148.2623,108.8379
grassland,45.5084,200.5858,126.322
grassland,42.4696,201.9859,154.8395
grassland,49.3145,162.7604,85.8003
grassland,30.5795,182.085,94.2528
grassland,34.3029,212.4976,140.264
grassland,34.5726,173.2232,145.988
grassland,38.3242,226.1135,123.4891
grassland,40.5768,209.8795,126.8472
grassland,32.1497,196.813,141.1088
grassland,43.8404,205.9361,147.6805
grassland,32.2424,196.7525,144.3599
grassland,39.4256,207.2514,125.3549
grassland,39.1991,215.7359,149.4283
grassland,35.2578,216.3893,88.1685
grassland,42.7631,205.1584,132.0625
grassland,35.8248,188.7374,75.3475
grassland,42.3962,224.6448,144.4186
grassland,46.5282,184.3665,126.2384
grassland,44.7579,208.2192,150.2215
grassland,42.1502,209.148,126.5389
grassland,42.7542,205.9003,126.4817
grassland,42.027,201.6556,124.5492
grassland,41.0571,208.2707,152.7357
grassland,34.7143,214.931,103.8343
grassland,38.6433,219.1473,127.0758
grassland,42.5617,207.4817,108.6654
grassland,37.8795,233.9017,125.6842
grassland,46.1327,168.0184,117.7533
grassland,35.7343,182.8277,105.414
grassland,40.4846,212.9224,122.6872
grassland,46.3058,171.1717,115.1936
grassland,45.3845,204.9278,123.9762
grassland,44.219,210.6452,100.2433
grassland,37.2986,190.178,73.5557
grassland,44.7208,182.8395,85.964
grassland,43.0259,195.5622,102.8201
grassland,32.2883,188.7853,145.442
grassland,33.8564,223.2294,127.6758
grassland,40.4986,204.4689,111.6517
grassland,31.4534,184.3506,102.8546
grassland,39.3125,224.9232,140.5548
grassland,42.2545,226.5353,105.4136
grassland,38.7964,208.9409,161.2089
grassland,41.0344,203.0439,147.7906
grassland,37.0654,171.7195,117.8924
grassland,39.1509,197.1704,154.9676
grassland,45.774,216.3731,144.5484
grassland,42.9545,212.8241,147.4632
grassland,33.0384,191.926,95.1877
grassland,42.1861,197.4139,148.9364
grassland,40.5039,200.4286,124.8801
grassland,38.8465,203.6992,104.001
grassland,45.1899,197.9241,91.3432
grassland,37.3987,211.0183,129.4246
grassland,43.37,197.9517,139.9489
grassland,41.2582,210.3316,147.9528
grassland,34.276,200.109,118.868
grassland,33.574,196.3129,129.9789
grassland,39.9235,196.3634,158.3248
grassland,33.49,200.7627,129.3985
grassland,42.3353,209.0044,154.6616
grassland,43.6131,209.6911,113.8869
grassland,42.6187,190.7202,153.4167
grassland,39.5827,220.026,121.3426
home,28.5602,110.4772,139.9255
home,33.0977,70.4232,133.0123
home,55.8979,79.7669,122.0355
home,65.9424,63.2961,93.1975
home,55.0395,53.1399,96.0298
home,42.5439,90.0769,54.9284
home,41.4649,144.9207,68.9809
home,44.5433,105.2677,49.7103
home,17.8941,89.1352,128.0556
home,54.7546,73.8915,85.0683
home,46.2736,126.0253,74.1981
home,51.8575,128.4238,63.2114
home,52.3998,71.9304,83.2778
home,26.7359,75.1935,113.6498
home,52.9596,54.1873,91.2984
home,35.4096,64.5763,97.3938
home,40.8106,130.7392,71.3359
home,56.3951,113.5979,62.163
home,34.2113,124.6871,82.8661
home,48.4272,65.7805,73.7861
home,32.6019,131.6839,84.6303
home,22.5645,133.5656,115.7587
home,27.3679,102.5989,120.6081
home,33.0987,137.5373,72.2309
home,35.3428,127.0048,71.9051
home,25.8153,106.8251,115.7224
home,29.6901,131.9969,95.2822
home,23.6445,71.357,118.3995
home,61.8275,96.8893,74.113
home,55.5297,70.0092,137.0985
home,28.2856,116.7383,138.2781
home,28.971,141.8683,79.4058
home,64.9825,117.6282,66.6087
home,36.3788,96.8197,114.0116
home,31.2811,106.0784,118.1759
home,78.4479,98.3739,58.6832
home,42.9842,72.0985,66.7443
home,36.6191,74.5825,93.5671
home,36.916,64.9117,98.2517
home,28.2587,96.6196,102.2669
home,60.3644,117.4553,65.7164
home,28.1274,106.1641,146.032
home,50.6513,65.5156,72.0989
home,35.829,83.8069,108.61
home,36.0242,69.1927,132.1394
home,47.4236,106.4248,73.0086
home,73.6141,40.1449,94.8333
home,55.7214,66.2779,138.9117
home,36.0072,63.8496,98.5188
home,57.796,67.8956,120.1129
home,59.6442,77.0278,102.4834
home,27.9522,120.8892,148.3814
home,36.3897,127.2492,79.7927
home,63.9687,68.7754,100.6521
home,28.5392,95.1279,109.6554
lake,105.0214,233.173,148.5132
lake,83.6156,217.7226,129.0558
lake,83.0698,209.8201,146.5772
lake,99.3262,236.7647,159.2054
lake,106.5571,248.8488,161.3216
lake,102.4496,223.8849,126.5736
lake,81.4477,215.4976,117.9518
lake,99.3296,238.5151,167.2311
lake,101.7951,241.3581,177.437
lake,95.7281,223.0708,142.893
lake,103.4893,240.087,165.8097
lake,98.5689,227.9777,165.5335
lake,94.4556,233.7496,127.1465
lake,104.9315,240.8544,150.5349
lake,81.9048,209.8133,147.4035
lake,82.2906,214.3981,168.4785
lake,85.6995,199.454,114.5066
lake,107.9628,248.6387,180.3037
lake,103.8416,230.6495,123.1089
lake,104.0323,243.8372,168.7905
lake,77.4094,211.6051,119.732
lake,97.452,235.4972,125.057
lake,87.5575,217.8207,129.131
lake,97.5516,226.365,118.9815
lake,94.0153,228.5112,170.2831
lake,98.4103,232.7891,159.7548
lake,84.2121,221.331,137.1906
lake,98.0095,212.4395,139.3264
lake,101.0181,238.3786,142.8435
lake,103.4966,244.0111,167.1621
lake,83.4345,209.8292,137.8208
lake,104.6018,248.5729,188.1554
lake,83.0138,221.5974,137.1147
lake,102.5139,241.5119,156.9992
lake,82.7794,217.2113,134.8489
lake,102.0323,245.8902,161.0601
lake,100.2281,237.5637,176.6728
lake,100.351,247.1823,162.3494
lake,104.6182,244.225,157.5525
lake,96.7904,234.4574,143.5162
lake,106.5781,248.5305,161.755
lake,78.4102,212.1981,139.4249
lake,87.0154,199.4188,110.8282
lake,97.3088,226.2949,130.4839
lake,103.4128,232.7996,157.1247
lake,103.1382,239.8536,171.4446
lake,96.981,223.7702,145.7693
lake,81.407,208.5644,113.0849
lake,88.0563,213.1924,126.3905
lake,84.8937,207.7514,134.1608
lake,98.3495,234.6545,152.2708
lake,104.2565,226.4938,128.6405
lake,103.1155,231.2716,190.4039
lake,103.4167,240.2342,160.3775
lake,99.2387,231.449,171.2576
lake,101.0284,231.3553,127.5964
lake,107.5743,252.1204,166.9313
lake,102.4825,222.781,153.9305
lake,105.152,245.7672,180.4324
lake,102.9184,227.9783,134.3818
lake,100.4727,244.0441,148.7518
lake,101.7053,217.1777,112.8171
lake,82.754,218.705,150.3265
lake,104.5799,240.0405,161.8334
lake,98.1394,230.482,136.9369
lake,82.5529,216.3786,126.9434
lake,98.255,223.6908,181.8942
lake,103.5798,245.9009,160.1492
lake,101.4964,232.3855,131.5529
lake,99.6566,237.9157,150.1786
lake,101.9646,239.8914,176.1833
lake,84.4973,215.2043,126.5489
lake,105.8423,246.6289,147.4673
lake,104.6195,240.9691,149.7083
lake,83.2127,213.7494,145.2441
lake,82.1762,214.2533,130.4914
lake,87.3776,228.969,145.6348
lake,82.9916,211.6541,150.3974
lake,83.5654,212.4393,128.174
lake,80.3243,216.9348,124.2343
lake,98.0358,238.4163,162.246
lake,99.7465,239.746,168.9207
lake,103.2833,237.5862,171.2293
lake,103.6694,249.7112,161.7763
lake,104.5513,241.0614,150.0534
lake,102.515,244.6294,132.7167
lake,97.9729,236.3711,147.7458
lake,104.6408,250.1491,187.9205
lake,106.1686,247.1818,148.1644
lake,102.595,238.6078,154.2673
lake,99.2664,232.2776,150.2026
lake,85.1478,221.7138,148.3628
lake,78.9684,193.0165,146.2953
lake,100.9318,217.1316,178.7492
lake,82.0551,218.9134,138.0369
lake,86.3795,213.7946,128.4069
lake,93.4027,232.2754,172.0617
lake,93.0271,227.6782,138.7627
lake,83.2549,216.2041,126.2045
lake,97.0511,230.2996,129.2884
lake,107.6018,252.0428,167.3886
lake,98.1816,226.133,134.4417
lake,102.7255,226.5779,132.9921
lake,106.2465,248.2076,151.541
lake,97.0479,233.4193,158.6361
lake,86.172,225.9964,141.7718
lake,97.629,236.9959,168.572
lake,99.5908,209.5242,141.2823
lake,90.0889,225.4864,163.395
lake,82.3783,216.7446,168.6545
lake,105.7803,250.9027,147.698
lake,100.7907,228.9335,173.7119
lake,104.885,246.1832,176.0431
lake,99.0394,241.5934,163.1448
lake,99.112,229.0339,171.9174
lake,80.5339,206.8277,154.5808
lake,79.5686,215.6921,118.3973
lake,87.057,215.3863,142.0495
lake,105.695,232.9958,147.9336
lake,104.898,248.4161,181.5275
lake,99.8033,235.8088,159.9289
lake,85.3466,201.1486,108.1857
lake,74.9411,194.1593,157.4599
lake,106.5176,251.2146,150.3975
lake,91.5889,215.3501,122.1439
lake,102.5085,248.2107,154.8382
lake,102.8322,234.1581,170.8795
lake,85.6262,215.6142,165.9066
lake,87.6017,217.1026,137.4199
lake,99.7301,222.3127,190.2527
lake,79.9287,213.2313,164.5202
lake,96.4535,225.8529,118.5012
lake,75.1861,210.7365,162.8407
lake,103.5724,223.4694,129.2556
lake,88.6579,218.6277,143.0016
lake,103.3492,231.873,109.2842
lake,108.5097,247.9006,152.855
lake,104.4575,246.0115,191.9277
lake,74.473,211.3898,122.03
lake,86.1585,220.977,132.4275
lake,107.3395,242.6677,146.3226
lake,104.7036,240.6608,152.8229
lake,84.1689,204.2114,147.6107
lake,97.5953,240.2605,128.832
lake,104.5789,216.8297,126.7172
lake,82.0986,222.4611,120.3854
lake,82.0466,206.5035,115.9547
lake,82.9691,217.478,136.7086
lake,102.6652,245.8129,161.0511
lake,104.1773,245.5738,183.6431
lake,91.2232,188.5297,152.8037
lake,78.3135,213.0305,114.183
lake,81.8046,221.7485,127.4051
lake,96.0054,237.582,173.3305
lake,108.0553,249.3696,182.1813
lake,84.436,217.2301,114.1203
lake,101.7809,233.3193,158.1115
lake,96.3368,209.2902,144.9036
lake,102.1005,243.9526,154.5982
lake,104.6629,246.1356,180.2533
lake,93.169,230.0344,126.0192
lake,102.6536,237.3226,143.2125
lake,98.9467,242.3848,151.3203
lake,101.7334,240.0597,179.8257
lake,95.4469,226.5023,134.678
lake,97.2752,235.9574,127.9379
lake,86.0331,218.5152,129.1699
lake,106.1796,249.6794,151.1969
lake,85.3263,215.4005,124.6569
lake,85.5315,208.6445,124.961
lake,95.9527,239.4497,153.3419
lake,100.3391,231.7577,163.8983
lake,102.6603,237.4935,167.1651
lake,101.2162,234.0784,147.4233
lake,94.7252,225.1011,130.7253
lake,106.2635,245.433,178.7223
lake,86.5324,205.6999,114.4549
lake,105.2093,236.5265,136.1486
lake,104.6058,237.4798,188.8832
lake,81.6437,213.8625,114.0626
lake,102.4909,235.0239,174.6744
lake,99.9303,247.3078,164.3532
lake,97.0743,231.4197,143.4121
lake,81.7171,217.1624,115.2623
lake,102.7191,221.7127,152.5276
lake,99.3663,227.5855,183.0452
lake,108.619,251.0276,150.7405
lake,81.9075,219.9848,146.4293
lake,95.2839,232.9361,142.0236
lake,103.9252,238.3955,137.8456
lake,107.9364,252.6743,165.5152
lake,102.9329,233.8586,142.7189
lake,107.9922,246.2784,119.5233
lake,105.0118,242.6688,175.3709
lake,104.1852,230.8363,164.2509
lake,109.243,250.0914,145.1054
lake,96.9604,226.3569,177.491
lake,98.6836,243.2361,134.7218
lake,105.963,247.9759,188.8139
lake,97.6528,233.5097,146.3869
lake,100.8612,236.2764,188.3915
lake,107.6671,237.8695,146.1495
lake,103.5822,249.6976,164.8256
lake,80.5897,209.8124,172.6683
lake,87.0949,214.7608,108.1631
lake,81.9827,212.2809,146.7516
lake,88.2695,193.1349,148.3733
lake,76.3059,217.1252,128.6842
lake,81.0795,213.7213,128.6242
lake,105.5078,244.2844,142.6436
lake,82.7212,207.7956,159.5085
lake,80.8347,208.9211,129.0296
lake,99.9106,236.9552,180.0152
lake,108.446,238.3572,157.6263
lake,81.0435,211.8107,143.2199
lake,85.0649,209.0575,143.0536
lake,107.163,247.1173,147.1658
lake,100.8341,221.8601,191.0391
lake,87.7738,226.6222,144.8299
lake,101.3442,239.7326,146.3536
lake,103.3298,247.3725,163.3165
lake,103.6673,238.4825,166.5798
lake,105.3634,223.6351,121.3283
lake,94.138,237.3529,156.3532
lake,80.9548,220.019,124.5875
lake,108.3626,252.1414,154.0305
lake,102.3967,239.6973,166.0858
lake,86.5053,205.335,135.5358
lake,101.753,239.0805,116.083
lake,81.1569,210.8509,145.8677
lake,85.1227,224.4812,139.0261
lake,86.8786,222.3914,108.5686
lake,83.734,198.1641,151.1071
lake,107.7612,248.4885,166.0027
lake,99.4852,232.21,152.1692
lake,105.8768,243.8979,157.8427
lake,102.7276,221.8085,179.0939
lake,104.154,248.2895,173.0166
lake,100.549,232.8028,138.0546
lake,74.1898,196.5182,149.5285
lake,109.0766,250.9219,147.4707
lake,104.0811,246.5469,182.1407
lake,97.4637,235.5871,134.8571
lake,101.1919,247.2045,137.9318
lake,83.3353,211.4039,126.4988
lake,97.3856,223.746,178.9702
lake,103.4896,244.4433,137.7571
lake,77.0316,214.0144,165.2463
lake,84.2034,220.9412,160.5507
lake,100.2896,212.8661,146.8181
lake,87.143,223.8396,141.5471
lake,95.3527,222.812,109.093
lake,104.8081,249.7242,184.4802
lake,94.3807,232.3982,146.8199
lake,106.8288,249.197,147.3008
lake,83.6345,215.5875,129.2461
lake,103.9839,239.324,154.6628
lake,82.9253,207.0817,140.4461
lake,103.1172,234.5552,140.5808
lake,81.2163,212.1316,149.8576
lake,106.8127,245.7791,147.3424
lake,99.2239,238.6984,167.2605
mine,40.3325,116.6394,59.467
mine,49.1475,72.4728,50.3317
mine,34.6017,106.3606,83.7887
mine,50.7985,69.4876,43.5013
mine,60.9668,104.0638,59.5862
mine,46.2547,99.5367,66.3457
mine,41.6246,92.8561,50.43
mine,44.7396,69.1809,44.5611
mine,31.593,113.1946,80.0343
mine,49.7611,66.1645,46.7319
mine,34.6136,124.1545,50.9571
mine,26.5861,133.3027,76.5142
mine,29.8934,135.6585,59.6385
mine,44.1072,79.0328,44.7613
mine,48.022,92.5819,46.8292
mine,35.5987,94.5229,53.25
mine,38.954,81.4633,67.1512
mine,28.6152,120.8791,74.8266
mine,51.4055,84.3853,54.5654
mine,29.0859,134.8246,77.9369
mine,47.0449,98.8869,56.7378
mine,43.508,96.8285,51.6467
mine,32.5558,107.7608,79.6788
mine,40.5922,102.5968,60.197
mine,40.9462,95.0037,65.3427
mine,57.9104,63.0966,48.7263
mine,37.2402,106.5635,78.1704
mine,43.2036,112.7174,67.8574
mine,32.1827,106.5397,63.9784
mine,28.9983,113.6333,79.8493
mine,40.3953,111.3181,65.3807
mine,34.7443,119.9457,56.2864
mine,30.4057,125.9119,75.9065
mine,31.5535,89.5381,71.6881
mine,39.0038,113.6012,66.4054
mine,33.5659,104.4991,57.335
mine,47.856,98.5409,59.2825
mine,58.11,59.3005,46.6314
mine,31.1693,121.6344,51.8652
mine,54.5618,68.9822,52.166
mine,42.2154,100.8715,54.0151
mine,47.0801,72.6809,48.39
mine,55.0579,86.7573,60.6722
mine,52.3009,94.3911,51.4024
mine,30.0804,125.2495,71.9897
mine,53.2554,75.3898,50.0956
mine,51.2224,96.8825,52.7262
mine,50.4594,114.7426,84.4859
mine,30.3854,126.417,75.1342
mine,48.6436,98.0677,53.8154
mine,45.354,118.2903,77.8356
mine,34.6179,89.3052,67.7937
mine,32.7576,126.6585,51.9786
mine,41.0963,79.8147,64.136
mine,31.9571,85.5254,65.5528
mine,29.6879,121.2375,79.0908
mine,39.4901,150.4003,78.8735
mine,28.9244,135.2808,64.12
mine,40.9786,128.619,67.5959
mine,48.5063,98.4718,50.0344
mine,46.8278,97.2287,55.7856
mine,29.5911,125.4147,91.2622
mine,34.0858,96.1287,67.812
mine,30.9468,124.4157,74.6298
mine,50.5659,81.3436,50.2716
mine,42.4726,112.3264,64.6378
mine,34.4808,83.7354,61.1143
mine,46.0532,98.133,55.5719
mine,40.6628,79.6844,45.3742
mine,43.9056,92.902,54.812
mine,30.4948,89.7343,69.9993
mine,29.1682,146.773,78.2237
mine,36.009,109.9165,67.9997
mine,34.3134,113.1999,52.5171
mine,31.8057,119.6407,90.7138
mine,52.2433,89.561,54.4316
mine,33.0987,105.513,66.7197
mine,27.7937,115.1591,79.0345
mine,46.05,87.8682,52.3196
mine,47.3486,57.2281,45.7067
mine,34.556,123.6271,71.8502
mine,28.3604,120.0166,51.1162
mine,39.1233,108.4545,67.5036
mine,33.6676,105.4589,60.1186
none,18.7183,187.689,128.1367
none,20.9558,212.5555,111.0583
none,20.6347,209.0328,120.918
none,20.8645,199.1419,153.003
none,18.7173,203.0692,128.317
none,21.1283,197.8493,140.3804
none,20.3939,201.6675,148.5556
none,23.524,207.2547,137.4861
none,20.8661,165.9163,155.9405
none,20.9953,201.9041,142.3827
none,21.3928,163.4532,152.4412
none,20.7379,195.6136,139.9863
none,20.432,210.4944,121.4268
none,26.9141,129.6447,169.4422
none,20.8831,201.5915,153.5464
none,20.5622,216.1421,114.5804
none,18.4977,171.3357,127.2061
none,20.4125,202.3181,148.5514
none,18.4191,188.0742,129.9419
none,20.7786,166.7311,157.7649
none,21.5975,164.7204,154.9264
none,20.6717,199.2592,145.2444
none,21.1441,201.9884,145.2991
none,25.277,110.2854,182.5587
none,22.6802,125.4165,173.1417
none,24.3115,205.9973,140.125
none,26.8815,111.5627,180.5388
none,20.7995,198.0388,143.2196
swamp,21.1506,157.8679,123.6069
swamp,20.9552,87.8511,100.2745
swamp,23.7581,134.5327,118.9327
swamp,20.1137,158.7524,74.057
swamp,25.3593,134.8767,106.0355
swamp,25.3155,141.7753,102.6813
swamp,21.7397,133.3472,85.7869
swamp,23.4857,68.9851,89.477
swamp,21.7519,100.6561,84.2314
swamp,25.3924,117.1441,106.7516
swamp,27.4662,138.2631,80.1803
swamp,18.8517,119.8391,106.0519
swamp,23.3398,145.8011,119.1151
swamp,22.1786,136.7622,124.519
swamp,25.3104,116.6604,90.1224
swamp,25.105,72.6814,132.3186
swamp,24.4301,110.5906,124.3701
swamp,22.3033,78.3705,89.5002
swamp,22.6089,104.7964,90.4405
swamp,22.8414,131.2594,115.4294
swamp,25.7611,116.6418,102.9965
swamp,23.845,128.3203,114.8478
swamp,23.4667,115.2696,131.9823
swamp,28.7169,109.0299,80.4688
swamp,24.8347,114.4899,90.0174
swamp,25.1282,134.1843,83.2193
swamp,23.1853,52.8352,93.6712
swamp,20.7455,166.3393,73.8972
swamp,24.2645,138.8007,117.6143
swamp,25.2381,84.4958,108.8012
swamp,24.1889,99.7541,122.9258
swamp,24.7192,151.8225,82.7153
swamp,25.3146,151.0821,99.1247
swamp,23.9619,33.0022,105.3183
swamp,23.9685,125.1569,98.4476
swamp,20.835,89.8041,103.2674
swamp,23.2179,126.0308,126.0819
swamp,21.681,81.4868,77.2486
swamp,25.791,135.1221,89.2397
swamp,29.8449,98.9846,87.5145
swamp,24.4549,94.2602,85.0625
swamp,24.3891,134.6245,111.7854
swamp,23.6735,130.9148,96.3389
swamp,25.2225,124.4537,77.8113
swamp,22.8971,124.0891,86.0508
swamp,20.7332,151.05,125.0531
swamp,23.8985,139.3462,117.4998
swamp,25.1321,123.6302,121.9908
swamp,20.334,157.9822,85.7401
swamp,23.651,145.423,105.7147
swamp,21.6373,166.0138,120.3922
swamp,23.5096,139.3717,119.4004
swamp,21.7327,102.8074,80.3385
swamp,21.9029,153.7126,104.9907
swamp,23.7077,132.7566,107.1856
swamp,19.3944,140.8378,84.0306
swamp,20.5982,114.2608,89.5068
swamp,24.6087,149.7635,118.8016
swamp,21.9929,125.5732,126.186
swamp,23.2888,115.41,78.7538
swamp,24.977,116.4079,123.0471
swamp,23.8501,149.689,113.4016
swamp,24.4151,66.2557,132.5599
swamp,23.8601,122.2341,116.0598
swamp,23.6163,140.0336,110.541
swamp,23.1351,136.6444,114.2157
swamp,23.0811,124.4335,130.2438
swamp,24.7498,130.6667,72.2139
swamp,27.9954,78.6386,132.0503
swamp,22.1875,164.6013,106.7374
swamp,25.815,66.7155,91.102
swamp,35.2614,69.2543,85.7241
swamp,22.6206,108.8993,135.195
swamp,24.6677,133.5091,77.658
swamp,20.5954,91.0174,91.5189
swamp,25.9399,132.0908,98.3075
swamp,20.6165,153.1086,86.1841
swamp,23.6043,151.9023,87.3785
swamp,21.9624,109.4836,81.424
swamp,23.7261,116.5571,78.9442
swamp,20.6624,63.5766,105.301
swamp,24.6864,136.7898,94.226
swamp,24.7964,113.3153,109.5005
swamp,23.7315,134.1788,76.1163
swamp,23.005,124.308,122.7146
swamp,28.3413,112.1713,93.1299
swamp,20.9239,88.2104,74.7638
swamp,22.3655,180.1299,99.3245
swamp,26.1099,119.0443,115.4998
swamp,25.7012,114.6187,109.0208
swamp,26.7676,65.6368,78.3717
swamp,26.1976,112.8386,110.9943
swamp,38.3629,124.0476,75.9135
swamp,23.8142,134.8082,109.7321
swamp,25.7418,85.1314,115.6709
swamp,22.9985,132.7583,84.7717
swamp,24.1201,123.2476,76.3619
swamp,25.0378,170.9698,91.7782
swamp,24.3654,139.2506,91.4742
swamp,24.0052,145.2634,115.704
swamp,25.8907,111.3717,114.074
swamp,23.1502,74.1184,77.0911
swamp,22.1197,85.2648,92.8561
swamp,26.6648,137.062,76.1548
swamp,20.5977,145.2239,93.2079
swamp,21.8378,109.1949,79.3935
swamp,17.54,135.8005,89.2702
swamp,23.4694,127.9296,102.4037
swamp,23.7861,128.2474,131.351
swamp,24.5162,153.6771,102.7741
swamp,25.1651,126.0841,123.1922
swamp,23.9466,105.6606,127.3271
swamp,23.0679,146.4197,95.1309
swamp,21.6457,57.6816,98.5633
swamp,24.6423,136.2695,102.383
swamp,29.139,123.1207,106.6172
swamp,21.846,153.9802,108.1528
swamp,25.2096,104.8375,122.7314
swamp,26.3095,63.1259,87.3559
swamp,24.0472,130.8668,105.2762
swamp,26.3825,135.7388,117.3704
swamp,22.3097,84.6828,77.613
swamp,26.4088,100.959,87.4739
swamp,21.9564,169.5934,120.9823
swamp,24.1548,151.3897,115.3216
swamp,22.2048,162.0562,114.7219
swamp,24.2719,152.5753,119.6716
swamp,20.0884,148.4063,100.6972
swamp,22.9974,108.5249,77.3316
swamp,23.5405,93.8098,75.7701
swamp,26.0551,78.983,133.9698
swamp,23.7347,141.0301,109.8863
swamp,22.02,123.0238,89.2871
swamp,21.4522,50.2824,96.2269
swamp,24.9671,151.6893,80.8809
swamp,24.9783,105.6306,87.0146
swamp,24.9855,140.8336,110.5439
swamp,24.0305,84.3955,77.3527
swamp,22.1652,132.2547,75.7967
swamp,24.5189,132.1856,92.4499
swamp,18.2252,117.571,111.6919
swamp,22.2914,46.9187,92.3292
